Order No,Order Date,Line No,Ship To Address No,Item Code,Order Qty,Quantity Shipped
528986,1/4/2019,2,43823583,10105916,2,2
528986,1/4/2019,3,43823583,110441,6,6
528987,1/4/2019,1,1929313,10098739,13,13
528987,1/4/2019,2,1929313,110441,6,6
528988,1/4/2019,1,1265636,10098739,7,7
528988,1/4/2019,2,1265636,110441,1,1
528989,1/4/2019,1,1667662,10098739,2,2
528989,1/4/2019,2,1667662,110441,1,1
528990,1/4/2019,1,1529448,10098739,3,3
529017,1/4/2019,1,1254737,10098739,5,5
529018,1/4/2019,2,1254738,1040774,2,2
529018,1/4/2019,3,1254738,1041106,4,4
529019,1/4/2019,1,1254740,10106230,2,2
529019,1/4/2019,2,1254740,1040776,1,1
529019,1/4/2019,3,1254740,10131275,10,10
529019,1/4/2019,5,1254740,1040774,10,10
529019,1/4/2019,6,1254740,1040765,9,9
529019,1/4/2019,7,1254740,1041106,16,16
529020,1/4/2019,1,1254737,10106230,2,2
529020,1/4/2019,2,1254737,10131275,5,5
529020,1/4/2019,3,1254737,1040765,1,1
529021,1/4/2019,1,1254736,1040774,3,3
529023,1/4/2019,3,1254765,10106229,4,4
529023,1/4/2019,4,1254765,10106111,1,1
529023,1/4/2019,5,1254765,10105916,1,1
529023,1/4/2019,6,1254765,10106230,6,6
529023,1/4/2019,7,1254765,1040726,2,2
529023,1/4/2019,8,1254765,110441,3,3
529023,1/4/2019,9,1254765,1033341,1,1
529023,1/4/2019,10,1254765,1040827,1,1
529023,1/4/2019,11,1254765,1029071,3,3
529023,1/4/2019,12,1254765,1029070,1,1
529023,1/4/2019,13,1254765,1040776,6,6
529023,1/4/2019,14,1254765,1040765,13,13
529023,1/4/2019,15,1254765,1040774,15,15
529024,1/4/2019,1,1254765,1038323,4,4
529024,1/4/2019,2,1254765,1039306,2,2
529024,1/4/2019,3,1254765,1040992,2,2
529024,1/4/2019,4,1254765,1039311,2,2
529024,1/4/2019,5,1254765,1040991,1,1
529024,1/4/2019,6,1254765,1039308,2,2
529024,1/4/2019,7,1254765,1039305,1,1
529024,1/4/2019,8,1254765,1039823,1,1
529024,1/4/2019,9,1254765,1041107,5,5
529024,1/4/2019,10,1254765,1041105,9,9
529024,1/4/2019,11,1254765,1041108,5,5
529024,1/4/2019,12,1254765,1041106,4,4
529025,1/4/2019,2,2258543,10106111,1,1
529025,1/4/2019,3,2258543,10105916,1,1
529025,1/4/2019,4,2258543,110441,6,6
529025,1/4/2019,5,2258543,1033341,1,1
529025,1/4/2019,6,2258543,1040827,1,1
